Date/Time, Name,Mobile ,Room ,Subtotal,ServiceCharge,GST,GrandTotal
2025-08-01 12:46:20,hash,8564114523,25,50,4.75,8.55,60.8
2025-08-06 10:17:22,gyan,8564125631,23,260,24.18,43.52,309.5
2025-08-06 10:46:56,reena,8564125632,52,2250,216.0,388.8,2764.8
2025-08-07 11:10:12,prayag,8564125632,,20,1.9,3.42,24.32
2025-08-07 16:30:08,priyansh,9854125632,,35,3.33,5.98,42.56
2025-08-07 16:44:24,yash,9854152361,65,260,24.7,44.46,316.16
2025-08-07 17:03:32,um,9854125632,,20,1.9,3.42,24.32
2025-08-08 09:58:43,harman,9854121452,,140,13.3,23.94,170.24
2025-08-13 09:57:08,radhe,9854151236,56,245,23.28,41.89,297.92
2025-08-13 10:14:07,ishan,9854125631,12,140,13.3,23.94,170.24
2025-08-13 10:18:11,uma,7841252361,,100,9.5,17.1,121.6
2025-08-13 12:10:39,prince,8451295623,,140,13.3,23.94,170.24
2025-08-13 12:10:39,prince,8451295623,,140,13.3,23.94,170.24
2025-08-19 11:32:21,prince,9541265213,56,20,1.9,3.42,24.32
2025-08-19 11:32:21,prince,9541265213,56,20,1.9,3.42,24.32
